--------,--------
size (bits),40
time (s),0.002087831497192383
rounds,73
--------,--------
size (bits),56
time (s),0.004231452941894531
rounds,127
--------,--------
size (bits),80
time (s),0.004724979400634766
rounds,78
--------,--------
size (bits),128
time (s),0.015578269958496094
rounds,176
--------,--------
size (bits),168
time (s),0.05704903602600098
rounds,527
--------,--------
size (bits),224
time (s),0.01792144775390625
rounds,58
--------,--------
size (bits),256
time (s),0.023457765579223633
rounds,86
--------,--------
size (bits),512
time (s),0.07611513137817383
rounds,39
--------,--------
size (bits),1024
time (s),1.1050429344177246
rounds,459
--------,--------
size (bits),2048
time (s),31.837586402893066
rounds,2849
--------,--------
size (bits),4096
time (s),144.24188923835754
rounds,1891
